kiscourseid,ukprn,url,coursetitle,modules,a_level_subjects,a_level_grades,ib_subjects,ib_grades,overview_text
Q810,10007774,http://www.ox.ac.uk/admissions/undergraduate/courses-listing/classics,Classics,"Dual-language stream
(Latin and Greek, for those who have studied Latin and/or Greek to A-level or equivalent)","AAA (with As in Latin and Greek, if taken)",AAA,"39 (including core points) with 666 at HL, including 6s at HL in Latin and Greek if taken",39,"Classics (Literae Humaniores) is a wide-ranging course devoted to the study of the civilisations of ancient Greece and Rome and their reception into modern times. It is one of the most varied and interdisciplinary of all subjects. Classics students at Oxford have the opportunity to study the languages, literature, history, and archaeology of the Greek and Roman Mediterranean, as well as philosophy (both ancient and modern) and linguistics.

Oxford has the largest Classics Faculty in the world, with over sixty full-time academic staff members. It has outstanding teaching, library and museum resources. Resources include the Bodleian Art, Archaeology and Ancient World Library and Bodleian Libraries, the Ashmolean Museum and a designated Classics Centre.

The breadth of expertise in the Faculty allows us to offer an extremely wide range of courses from Homeric archaeology to Byzantine literature. The length of the course allows students to explore the various disciplines within this vast subject and to engage with their particular interests within the classical world in real depth.

The Philosophy Faculty is the largest philosophy department in the UK, and one of the largest in the world, admitting around 450 undergraduates annually to read the various degrees involving Philosophy. Many faculty members have a worldwide reputation and the library and other facilities are acknowledged as among the best in the country.

The study of philosophy develops analytical rigour and the ability to criticise and reason logically. It allows you to apply these skills to questions ranging from how we acquire knowledge and form moral judgements to the nature of language, art and literature. Since many works of literature are shaped by the dominant philosophical ideas of their epoch, study of philosophy can illuminate that intellectual background.

The course involves extensive study of at least one ancient language, but candidates do not need to have any prior knowledge of either Greek or Latin.

In previous years Oxford offered two separate Classics courses: Classics Course I (Q800) – for those who had studied Latin and/or Greek to A-level or equivalent; and Classics Course II (Q810) – for those who had not studied Latin or Greek to A-level or equivalent. Following a redesign of the degree structure, there is now just one course (Classics – Q800) which is for all candidates, whether or not they have any prior experience of Latin or Greek. Those with an A-level or equivalent in at least one classical language will follow a dual-language stream (Latin and Greek); those without can choose to follow either a Latin or Greek stream."
QQH8,10007774,http://www.ox.ac.uk/admissions/undergraduate/courses-listing/classics-and-english,Classics and English,"Students taking Classics and English with Beginners’ Latin or Greek spend a preliminary year learning Latin or Greek, alongside some study of classical literature. They then progress to Year 1 and follow the same programme as other Classics and English students.
Five papers are taken:
Introduction to English language and literature
Literature in English 1550–1660
Unseen translation for Classics
Greek and/or Latin literature (two papers)","AAA (with As in Latin and Greek, if taken)",AAA,"39 (including core points) with 666 at HL, including 6s at HL in Latin and Greek, if taken.",39,"The Classics and English degree at Oxford gives students the opportunity to study the literature and culture of the ancient and modern world, both separately and in comparison; to trace ideas, forms, and genres across cultures and time; and to think about continuities and change in how people think, write, and imagine their world.

All students study either Latin or Greek or both, so that they can encounter ancient literature in the original language(s).

Candidates with an A-level or equivalent in either Latin or Greek take a three-year course.

Candidates who have not had the opportunity to study either classical language to A-level or equivalent take Classics and English with Beginners’ Latin or Greek. This is a four-year course which includes a preliminary year, in which students learn Latin or Greek alongside some study of classical literature.

"">Video of Classics and English at Oxford University

You can choose to specialise in what you find most interesting from each side of the course, taking a range of options in English literature, and in ancient literature, history, philosophy, and linguistics. But the degree also integrates the two sides of its course, offering several papers designed specifically for the kind of comparative work that the course encourages.

In the first year (second, for Classics and English with Beginners' Latin or Greek), students take a paper in English literature of the sixteenth and seventeenth centuries – the period during which writers were most consistently and intensely engaged with the languages and literatures of ancient Greece and Rome.

Among the highlights of the latter two years are the four ‘link papers.’ All students take Epic, and read and compare authors such as Homer, Virgil, Milton, Alice Oswald, and Derek Walcott. Students then choose to take either Comedy, Tragedy, or Reception (in which you study the reception of ancient literature in 20th-century poetry). Students who choose to take up a second classical language in their penultimate year only take one of the link papers.

The final-year dissertation allows students to pursue an independently devised topic with an expert supervisor, which may combine the subjects or focus on an aspect of one of them. All of the courses allow students to pursue the twists and turns of literary genres across time.

Oxford has a long and distinguished tradition of research and teaching in both Classics and English, and possesses remarkable library provision in both subjects.

Oxford has the largest Classics department in the world, with over sixty full-time academic staff-members. It has outstanding teaching, library and museum resources. Resources include the Bodleian and Bodleian Art, Archaeology and Ancient World Libraries, the Ashmolean Museum and a designated Classics Centre.

The English Faculty is the largest English department in Britain. Students are taught in tutorials by scholars active in their research field, many of whom also give lectures to all students in the English Faculty. You will therefore have the opportunity to learn from a wide range of specialist teachers.

Library provision for English at Oxford is exceptionally good. All students have access to:

• the Bodleian Library (with its extensive manuscript collection),
• the English Faculty Library,
• their own college libraries,
• and a wide range of electronic resources."
Q8T9,10007774,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/classics-and-asian-and-middle-eastern-studies,Classics and Asian and Middle Eastern Studies,,"AAA (with As in Latin and Greek, if taken)",AAA,"39 (including core points) with 666 at HL, including 6s at HL in Latin and Greek if taken",39,"This course allows you to combine the study of an Asian or Middle Eastern language and culture with Latin and/or Greek and the study of the ancient world.

There are two options: Classics with Asian and Middle Eastern Studies (Q8T9) and Asian and Middle Eastern Studies with Classics (T9Q8). In each case the subject mentioned first is the main subject (about two-thirds of the degree) and the second is an additional subject (about one-third of the degree).

This joint honours degree provides an exciting opportunity for students who want to focus on interdisciplinary studies. It enables students to explore the cultural development and crossover in places such as the Middle East, Iran, Egypt and India. You will study the relationship between the languages and cultures of the great monotheistic religions within their various Greek and Roman contexts.

Those who choose Arabic, Persian or Turkish as their main language for the Asian and Middle Eastern Studies with Classics degree will spend their second year undertaking immersive language study abroad.

"">Video of Classics and Oriental Studies at Oxford University

Please note that the course video on this page was filmed prior to the renaming of the course and of the Bodleian Art, Archaeology and Ancient World Library.

Oxford is ideally placed for the combined study of Classics and Asian and Middle Eastern Studies, not least due to the numerous and varied teaching staff in each faculty, and the resources of the Ashmolean Museum, the Bodleian Art, Archaeology and Ancient World Library and the China Centre. The Nizami Ganjavi Library has core collections comprising Islamic, South Asian and Jewish Studies.

Oxford has the largest Classics faculty in the world, with over sixty full-time academic staff-members. It has outstanding teaching, library and museum resources, including the Bodleian Art, Archaeology and Ancient World Library and other Bodleian Libraries, the Ashmolean Museum and a designated Classics Centre."
Q8R7,10007774,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/classics-and-modern-languages,Classics and Modern Languages,"Students taking Classics and Modern Languages with Beginners’ Latin or Greek spend a preliminary year learning Latin or Greek, alongside some study of classical literature. Then they follow the same programme as other Option A students.
Translation from the ancient language(s) into English (one paper)
Literature in the ancient language or languages (two papers)
Practical language work for the modern language (two papers)
Literature in the modern language (two papers)","AAA (with As in Latin and Greek, if taken)",AAA,"39 (including core points) with 666 at HL, including 6s at HL in Latin and Greek if taken",39,"Classics and Modern Languages enables you to combine study of Latin and/or Ancient Greek with a modern language. The course involves extensive study of major literary texts, alongside training in linguistic skills.

The Greeks and Romans were active in all the countries covered by the available languages. Not only does studying this course help to give students greater access to the ancient cultures, it is also a chance to examine how classical literature and culture have shaped their modern counterparts.

Some options provide an opportunity to directly compare texts from both sides of the course, focusing on classical influence on modern European literature.

"">Video of Classics and Modern Languages at Oxford University

Oxford has the largest Classics department in the world, with over sixty full-time academic staff-members. It has outstanding teaching, library and museum resources, including the Bodleian and Bodleian Art, Archaeology and Ancient World Libraries, the Ashmolean Museum and a designated Classics Centre.

The Medieval and Modern Languages Faculty is the largest in the country, with a major research library, the Taylor Institution, and a well-equipped Language Centre.

Studying Modern Languages provides both practical training in written and spoken language and an extensive introduction to literature and thought written in European languages. Students develop oral and aural proficiency in the modern language by regular contact with native speakers and study a broad range of literature from the medieval to the present day."
QR38,10007774,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/classics-and-modern-languages,Classics and Modern Languages,"Students taking Classics and Modern Languages with Beginners’ Latin or Greek spend a preliminary year learning Latin or Greek, alongside some study of classical literature. Then they follow the same programme as other Option A students.
Translation from the ancient language(s) into English (one paper)
Literature in the ancient language or languages (two papers)
Practical language work for the modern language (two papers)
Literature in the modern language (two papers)","AAA (with As in Latin and Greek, if taken)",AAA,"39 (including core points) with 666 at HL, including 6s at HL in Latin and Greek if taken",39,"Classics and Modern Languages enables you to combine study of Latin and/or Ancient Greek with a modern language. The course involves extensive study of major literary texts, alongside training in linguistic skills.

The Greeks and Romans were active in all the countries covered by the available languages. Not only does studying this course help to give students greater access to the ancient cultures, it is also a chance to examine how classical literature and culture have shaped their modern counterparts.

Some options provide an opportunity to directly compare texts from both sides of the course, focusing on classical influence on modern European literature.

"">Video of Classics and Modern Languages at Oxford University

Oxford has the largest Classics department in the world, with over sixty full-time academic staff-members. It has outstanding teaching, library and museum resources, including the Bodleian and Bodleian Art, Archaeology and Ancient World Libraries, the Ashmolean Museum and a designated Classics Centre.

The Medieval and Modern Languages Faculty is the largest in the country, with a major research library, the Taylor Institution, and a well-equipped Language Centre.

Studying Modern Languages provides both practical training in written and spoken language and an extensive introduction to literature and thought written in European languages. Students develop oral and aural proficiency in the modern language by regular contact with native speakers and study a broad range of literature from the medieval to the present day."
QR8Y,10007774,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/classics-and-modern-languages,Classics and Modern Languages,"Students taking Classics and Modern Languages with Beginners’ Latin or Greek spend a preliminary year learning Latin or Greek, alongside some study of classical literature. Then they follow the same programme as other Option A students.
Translation from the ancient language(s) into English (one paper)
Literature in the ancient language or languages (two papers)
Practical language work for the modern language (two papers)
Literature in the modern language (two papers)","AAA (with As in Latin and Greek, if taken)",AAA,"39 (including core points) with 666 at HL, including 6s at HL in Latin and Greek if taken",39,"Classics and Modern Languages enables you to combine study of Latin and/or Ancient Greek with a modern language. The course involves extensive study of major literary texts, alongside training in linguistic skills.

The Greeks and Romans were active in all the countries covered by the available languages. Not only does studying this course help to give students greater access to the ancient cultures, it is also a chance to examine how classical literature and culture have shaped their modern counterparts.

Some options provide an opportunity to directly compare texts from both sides of the course, focusing on classical influence on modern European literature.

"">Video of Classics and Modern Languages at Oxford University

Oxford has the largest Classics department in the world, with over sixty full-time academic staff-members. It has outstanding teaching, library and museum resources, including the Bodleian and Bodleian Art, Archaeology and Ancient World Libraries, the Ashmolean Museum and a designated Classics Centre.

The Medieval and Modern Languages Faculty is the largest in the country, with a major research library, the Taylor Institution, and a well-equipped Language Centre.

Studying Modern Languages provides both practical training in written and spoken language and an extensive introduction to literature and thought written in European languages. Students develop oral and aural proficiency in the modern language by regular contact with native speakers and study a broad range of literature from the medieval to the present day."
QR8N,10007774,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/classics-and-modern-languages,Classics and Modern Languages,"Students taking Classics and Modern Languages with Beginners’ Latin or Greek spend a preliminary year learning Latin or Greek, alongside some study of classical literature. Then they follow the same programme as other Option A students.
Translation from the ancient language(s) into English (one paper)
Literature in the ancient language or languages (two papers)
Practical language work for the modern language (two papers)
Literature in the modern language (two papers)","AAA (with As in Latin and Greek, if taken)",AAA,"39 (including core points) with 666 at HL, including 6s at HL in Latin and Greek if taken",39,"Classics and Modern Languages enables you to combine study of Latin and/or Ancient Greek with a modern language. The course involves extensive study of major literary texts, alongside training in linguistic skills.

The Greeks and Romans were active in all the countries covered by the available languages. Not only does studying this course help to give students greater access to the ancient cultures, it is also a chance to examine how classical literature and culture have shaped their modern counterparts.

Some options provide an opportunity to directly compare texts from both sides of the course, focusing on classical influence on modern European literature.

"">Video of Classics and Modern Languages at Oxford University

Oxford has the largest Classics department in the world, with over sixty full-time academic staff-members. It has outstanding teaching, library and museum resources, including the Bodleian and Bodleian Art, Archaeology and Ancient World Libraries, the Ashmolean Museum and a designated Classics Centre.

The Medieval and Modern Languages Faculty is the largest in the country, with a major research library, the Taylor Institution, and a well-equipped Language Centre.

Studying Modern Languages provides both practical training in written and spoken language and an extensive introduction to literature and thought written in European languages. Students develop oral and aural proficiency in the modern language by regular contact with native speakers and study a broad range of literature from the medieval to the present day."
QR87,10007774,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/classics-and-modern-languages,Classics and Modern Languages,"Students taking Classics and Modern Languages with Beginners’ Latin or Greek spend a preliminary year learning Latin or Greek, alongside some study of classical literature. Then they follow the same programme as other Option A students.
Translation from the ancient language(s) into English (one paper)
Literature in the ancient language or languages (two papers)
Practical language work for the modern language (two papers)
Literature in the modern language (two papers)","AAA (with As in Latin and Greek, if taken)",AAA,"39 (including core points) with 666 at HL, including 6s at HL in Latin and Greek if taken",39,"Classics and Modern Languages enables you to combine study of Latin and/or Ancient Greek with a modern language. The course involves extensive study of major literary texts, alongside training in linguistic skills.

The Greeks and Romans were active in all the countries covered by the available languages. Not only does studying this course help to give students greater access to the ancient cultures, it is also a chance to examine how classical literature and culture have shaped their modern counterparts.

Some options provide an opportunity to directly compare texts from both sides of the course, focusing on classical influence on modern European literature.

"">Video of Classics and Modern Languages at Oxford University

Oxford has the largest Classics department in the world, with over sixty full-time academic staff-members. It has outstanding teaching, library and museum resources, including the Bodleian and Bodleian Art, Archaeology and Ancient World Libraries, the Ashmolean Museum and a designated Classics Centre.

The Medieval and Modern Languages Faculty is the largest in the country, with a major research library, the Taylor Institution, and a well-equipped Language Centre.

Studying Modern Languages provides both practical training in written and spoken language and an extensive introduction to literature and thought written in European languages. Students develop oral and aural proficiency in the modern language by regular contact with native speakers and study a broad range of literature from the medieval to the present day."
QQ38,10007774,http://www.ox.ac.uk/admissions/undergraduate/courses-listing/classics-and-english,Classics and English,"Students taking Classics and English with Beginners’ Latin or Greek spend a preliminary year learning Latin or Greek, alongside some study of classical literature. They then progress to Year 1 and follow the same programme as other Classics and English students.
Five papers are taken:
Introduction to English language and literature
Literature in English 1550–1660
Unseen translation for Classics
Greek and/or Latin literature (two papers)","AAA (with As in Latin and Greek, if taken)",AAA,"39 (including core points) with 666 at HL, including 6s at HL in Latin and Greek, if taken.",39,"The Classics and English degree at Oxford gives students the opportunity to study the literature and culture of the ancient and modern world, both separately and in comparison; to trace ideas, forms, and genres across cultures and time; and to think about continuities and change in how people think, write, and imagine their world.

All students study either Latin or Greek or both, so that they can encounter ancient literature in the original language(s).

Candidates with an A-level or equivalent in either Latin or Greek take a three-year course.

Candidates who have not had the opportunity to study either classical language to A-level or equivalent take Classics and English with Beginners’ Latin or Greek. This is a four-year course which includes a preliminary year, in which students learn Latin or Greek alongside some study of classical literature.

"">Video of Classics and English at Oxford University

You can choose to specialise in what you find most interesting from each side of the course, taking a range of options in English literature, and in ancient literature, history, philosophy, and linguistics. But the degree also integrates the two sides of its course, offering several papers designed specifically for the kind of comparative work that the course encourages.

In the first year (second, for Classics and English with Beginners' Latin or Greek), students take a paper in English literature of the sixteenth and seventeenth centuries – the period during which writers were most consistently and intensely engaged with the languages and literatures of ancient Greece and Rome.

Among the highlights of the latter two years are the four ‘link papers.’ All students take Epic, and read and compare authors such as Homer, Virgil, Milton, Alice Oswald, and Derek Walcott. Students then choose to take either Comedy, Tragedy, or Reception (in which you study the reception of ancient literature in 20th-century poetry). Students who choose to take up a second classical language in their penultimate year only take one of the link papers.

The final-year dissertation allows students to pursue an independently devised topic with an expert supervisor, which may combine the subjects or focus on an aspect of one of them. All of the courses allow students to pursue the twists and turns of literary genres across time.

Oxford has a long and distinguished tradition of research and teaching in both Classics and English, and possesses remarkable library provision in both subjects.

Oxford has the largest Classics department in the world, with over sixty full-time academic staff-members. It has outstanding teaching, library and museum resources. Resources include the Bodleian and Bodleian Art, Archaeology and Ancient World Libraries, the Ashmolean Museum and a designated Classics Centre.

The English Faculty is the largest English department in Britain. Students are taught in tutorials by scholars active in their research field, many of whom also give lectures to all students in the English Faculty. You will therefore have the opportunity to learn from a wide range of specialist teachers.

Library provision for English at Oxford is exceptionally good. All students have access to:

• the Bodleian Library (with its extensive manuscript collection),
• the English Faculty Library,
• their own college libraries,
• and a wide range of electronic resources."
QR81,10007774,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/classics-and-modern-languages,Classics and Modern Languages,"Students taking Classics and Modern Languages with Beginners’ Latin or Greek spend a preliminary year learning Latin or Greek, alongside some study of classical literature. Then they follow the same programme as other Option A students.
Translation from the ancient language(s) into English (one paper)
Literature in the ancient language or languages (two papers)
Practical language work for the modern language (two papers)
Literature in the modern language (two papers)","AAA (with As in Latin and Greek, if taken)",AAA,"39 (including core points) with 666 at HL, including 6s at HL in Latin and Greek if taken",39,"Classics and Modern Languages enables you to combine study of Latin and/or Ancient Greek with a modern language. The course involves extensive study of major literary texts, alongside training in linguistic skills.

The Greeks and Romans were active in all the countries covered by the available languages. Not only does studying this course help to give students greater access to the ancient cultures, it is also a chance to examine how classical literature and culture have shaped their modern counterparts.

Some options provide an opportunity to directly compare texts from both sides of the course, focusing on classical influence on modern European literature.

"">Video of Classics and Modern Languages at Oxford University

Oxford has the largest Classics department in the world, with over sixty full-time academic staff-members. It has outstanding teaching, library and museum resources, including the Bodleian and Bodleian Art, Archaeology and Ancient World Libraries, the Ashmolean Museum and a designated Classics Centre.

The Medieval and Modern Languages Faculty is the largest in the country, with a major research library, the Taylor Institution, and a well-equipped Language Centre.

Studying Modern Languages provides both practical training in written and spoken language and an extensive introduction to literature and thought written in European languages. Students develop oral and aural proficiency in the modern language by regular contact with native speakers and study a broad range of literature from the medieval to the present day."
QR82,10007774,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/classics-and-modern-languages,Classics and Modern Languages,"Students taking Classics and Modern Languages with Beginners’ Latin or Greek spend a preliminary year learning Latin or Greek, alongside some study of classical literature. Then they follow the same programme as other Option A students.
Translation from the ancient language(s) into English (one paper)
Literature in the ancient language or languages (two papers)
Practical language work for the modern language (two papers)
Literature in the modern language (two papers)","AAA (with As in Latin and Greek, if taken)",AAA,"39 (including core points) with 666 at HL, including 6s at HL in Latin and Greek if taken",39,"Classics and Modern Languages enables you to combine study of Latin and/or Ancient Greek with a modern language. The course involves extensive study of major literary texts, alongside training in linguistic skills.

The Greeks and Romans were active in all the countries covered by the available languages. Not only does studying this course help to give students greater access to the ancient cultures, it is also a chance to examine how classical literature and culture have shaped their modern counterparts.

Some options provide an opportunity to directly compare texts from both sides of the course, focusing on classical influence on modern European literature.

"">Video of Classics and Modern Languages at Oxford University

Oxford has the largest Classics department in the world, with over sixty full-time academic staff-members. It has outstanding teaching, library and museum resources, including the Bodleian and Bodleian Art, Archaeology and Ancient World Libraries, the Ashmolean Museum and a designated Classics Centre.

The Medieval and Modern Languages Faculty is the largest in the country, with a major research library, the Taylor Institution, and a well-equipped Language Centre.

Studying Modern Languages provides both practical training in written and spoken language and an extensive introduction to literature and thought written in European languages. Students develop oral and aural proficiency in the modern language by regular contact with native speakers and study a broad range of literature from the medieval to the present day."
QR83,10007774,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/classics-and-modern-languages,Classics and Modern Languages,"Students taking Classics and Modern Languages with Beginners’ Latin or Greek spend a preliminary year learning Latin or Greek, alongside some study of classical literature. Then they follow the same programme as other Option A students.
Translation from the ancient language(s) into English (one paper)
Literature in the ancient language or languages (two papers)
Practical language work for the modern language (two papers)
Literature in the modern language (two papers)","AAA (with As in Latin and Greek, if taken)",AAA,"39 (including core points) with 666 at HL, including 6s at HL in Latin and Greek if taken",39,"Classics and Modern Languages enables you to combine study of Latin and/or Ancient Greek with a modern language. The course involves extensive study of major literary texts, alongside training in linguistic skills.

The Greeks and Romans were active in all the countries covered by the available languages. Not only does studying this course help to give students greater access to the ancient cultures, it is also a chance to examine how classical literature and culture have shaped their modern counterparts.

Some options provide an opportunity to directly compare texts from both sides of the course, focusing on classical influence on modern European literature.

"">Video of Classics and Modern Languages at Oxford University

Oxford has the largest Classics department in the world, with over sixty full-time academic staff-members. It has outstanding teaching, library and museum resources, including the Bodleian and Bodleian Art, Archaeology and Ancient World Libraries, the Ashmolean Museum and a designated Classics Centre.

The Medieval and Modern Languages Faculty is the largest in the country, with a major research library, the Taylor Institution, and a well-equipped Language Centre.

Studying Modern Languages provides both practical training in written and spoken language and an extensive introduction to literature and thought written in European languages. Students develop oral and aural proficiency in the modern language by regular contact with native speakers and study a broad range of literature from the medieval to the present day."
QQ87,10007774,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/classics-and-modern-languages,Classics and Modern Languages,"Students taking Classics and Modern Languages with Beginners’ Latin or Greek spend a preliminary year learning Latin or Greek, alongside some study of classical literature. Then they follow the same programme as other Option A students.
Translation from the ancient language(s) into English (one paper)
Literature in the ancient language or languages (two papers)
Practical language work for the modern language (two papers)
Literature in the modern language (two papers)","AAA (with As in Latin and Greek, if taken)",AAA,"39 (including core points) with 666 at HL, including 6s at HL in Latin and Greek if taken",39,"Classics and Modern Languages enables you to combine study of Latin and/or Ancient Greek with a modern language. The course involves extensive study of major literary texts, alongside training in linguistic skills.

The Greeks and Romans were active in all the countries covered by the available languages. Not only does studying this course help to give students greater access to the ancient cultures, it is also a chance to examine how classical literature and culture have shaped their modern counterparts.

Some options provide an opportunity to directly compare texts from both sides of the course, focusing on classical influence on modern European literature.

"">Video of Classics and Modern Languages at Oxford University

Oxford has the largest Classics department in the world, with over sixty full-time academic staff-members. It has outstanding teaching, library and museum resources, including the Bodleian and Bodleian Art, Archaeology and Ancient World Libraries, the Ashmolean Museum and a designated Classics Centre.

The Medieval and Modern Languages Faculty is the largest in the country, with a major research library, the Taylor Institution, and a well-equipped Language Centre.

Studying Modern Languages provides both practical training in written and spoken language and an extensive introduction to literature and thought written in European languages. Students develop oral and aural proficiency in the modern language by regular contact with native speakers and study a broad range of literature from the medieval to the present day."
QR85,10007774,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/classics-and-modern-languages,Classics and Modern Languages,"Students taking Classics and Modern Languages with Beginners’ Latin or Greek spend a preliminary year learning Latin or Greek, alongside some study of classical literature. Then they follow the same programme as other Option A students.
Translation from the ancient language(s) into English (one paper)
Literature in the ancient language or languages (two papers)
Practical language work for the modern language (two papers)
Literature in the modern language (two papers)","AAA (with As in Latin and Greek, if taken)",AAA,"39 (including core points) with 666 at HL, including 6s at HL in Latin and Greek if taken",39,"Classics and Modern Languages enables you to combine study of Latin and/or Ancient Greek with a modern language. The course involves extensive study of major literary texts, alongside training in linguistic skills.

The Greeks and Romans were active in all the countries covered by the available languages. Not only does studying this course help to give students greater access to the ancient cultures, it is also a chance to examine how classical literature and culture have shaped their modern counterparts.

Some options provide an opportunity to directly compare texts from both sides of the course, focusing on classical influence on modern European literature.

"">Video of Classics and Modern Languages at Oxford University

Oxford has the largest Classics department in the world, with over sixty full-time academic staff-members. It has outstanding teaching, library and museum resources, including the Bodleian and Bodleian Art, Archaeology and Ancient World Libraries, the Ashmolean Museum and a designated Classics Centre.

The Medieval and Modern Languages Faculty is the largest in the country, with a major research library, the Taylor Institution, and a well-equipped Language Centre.

Studying Modern Languages provides both practical training in written and spoken language and an extensive introduction to literature and thought written in European languages. Students develop oral and aural proficiency in the modern language by regular contact with native speakers and study a broad range of literature from the medieval to the present day."
QRV7,10007774,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/classics-and-modern-languages,Classics and Modern Languages,"Students taking Classics and Modern Languages with Beginners’ Latin or Greek spend a preliminary year learning Latin or Greek, alongside some study of classical literature. Then they follow the same programme as other Option A students.
Translation from the ancient language(s) into English (one paper)
Literature in the ancient language or languages (two papers)
Practical language work for the modern language (two papers)
Literature in the modern language (two papers)","AAA (with As in Latin and Greek, if taken)",AAA,"39 (including core points) with 666 at HL, including 6s at HL in Latin and Greek if taken",39,"Classics and Modern Languages enables you to combine study of Latin and/or Ancient Greek with a modern language. The course involves extensive study of major literary texts, alongside training in linguistic skills.

The Greeks and Romans were active in all the countries covered by the available languages. Not only does studying this course help to give students greater access to the ancient cultures, it is also a chance to examine how classical literature and culture have shaped their modern counterparts.

Some options provide an opportunity to directly compare texts from both sides of the course, focusing on classical influence on modern European literature.

"">Video of Classics and Modern Languages at Oxford University

Oxford has the largest Classics department in the world, with over sixty full-time academic staff-members. It has outstanding teaching, library and museum resources, including the Bodleian and Bodleian Art, Archaeology and Ancient World Libraries, the Ashmolean Museum and a designated Classics Centre.

The Medieval and Modern Languages Faculty is the largest in the country, with a major research library, the Taylor Institution, and a well-equipped Language Centre.

Studying Modern Languages provides both practical training in written and spoken language and an extensive introduction to literature and thought written in European languages. Students develop oral and aural proficiency in the modern language by regular contact with native speakers and study a broad range of literature from the medieval to the present day."
QR84,10007774,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/classics-and-modern-languages,Classics and Modern Languages,"Students taking Classics and Modern Languages with Beginners’ Latin or Greek spend a preliminary year learning Latin or Greek, alongside some study of classical literature. Then they follow the same programme as other Option A students.
Translation from the ancient language(s) into English (one paper)
Literature in the ancient language or languages (two papers)
Practical language work for the modern language (two papers)
Literature in the modern language (two papers)","AAA (with As in Latin and Greek, if taken)",AAA,"39 (including core points) with 666 at HL, including 6s at HL in Latin and Greek if taken",39,"Classics and Modern Languages enables you to combine study of Latin and/or Ancient Greek with a modern language. The course involves extensive study of major literary texts, alongside training in linguistic skills.

The Greeks and Romans were active in all the countries covered by the available languages. Not only does studying this course help to give students greater access to the ancient cultures, it is also a chance to examine how classical literature and culture have shaped their modern counterparts.

Some options provide an opportunity to directly compare texts from both sides of the course, focusing on classical influence on modern European literature.

"">Video of Classics and Modern Languages at Oxford University

Oxford has the largest Classics department in the world, with over sixty full-time academic staff-members. It has outstanding teaching, library and museum resources, including the Bodleian and Bodleian Art, Archaeology and Ancient World Libraries, the Ashmolean Museum and a designated Classics Centre.

The Medieval and Modern Languages Faculty is the largest in the country, with a major research library, the Taylor Institution, and a well-equipped Language Centre.

Studying Modern Languages provides both practical training in written and spoken language and an extensive introduction to literature and thought written in European languages. Students develop oral and aural proficiency in the modern language by regular contact with native speakers and study a broad range of literature from the medieval to the present day."
G400,10007774,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/computer-science,Computer Science,"Core courses (100%):
Continuous mathematics
Design and analysis of algorithms
Digital systems
Discrete mathematics
Functional programming
Imperative programming
Introduction to proof systems
Linear algebra
Probability","A*AA including at least an A in Mathematics, with the A* in Mathematics, Further Mathematics or Computer Science.Those taking Further Mathematics A-level or AS-level are required to achieve at least Grade A.",A*AA,39 (including core points) with 766 at HL (the 7 must be in HL Mathematics),39,"Computer science is about understanding computer systems and networks at a deep level. You will use your understanding of mathematical reasoning to reason rigorously about the behaviours of computer programmes and systems.

This course concentrates on creating links between theory and practice, covering a wide variety of software and hardware technologies and their applications.

The course offers the opportunity to develop more understanding of Computer Science as a subject, and focuses on the mathematical underpinnings of computer science. It offers the opportunity to gain practical problem-solving and programme design skills.

The first year and part of second year you will spend acquiring a grounding in core topics. Students can then choose from a range of options in Computer Science subjects starting in second year.

In the second year, students take part in a group design practical, which may be sponsored by industry.

"">Video of Computer Science at Oxford University"
