kiscourseid,ukprn,url,coursetitle,modules,a_level_reqs,a_level_grades,ib_grades,overview_text
UG_ECTX,10007788,https://www.undergraduate.study.cam.ac.uk/courses/economics-ba-hons,"Economics, BA (Hons)","You get an introduction to the subject, a common core of knowledge which can subsequently be extended. 
You take 5 compulsory papers:

Microeconomics
Macroeconomics
Quantitative Methods in Economics, an introduction to the use of mathematical and statistical techniques in economics
Political and Social Aspects of Economics
British Economic History

These papers cover topics such as:

supply and demand
the role of prices and markets
employment
inflation
the operation of financial institutions
monetary policy","To apply to any of our Colleges for Economics, you will need an A level/IB Higher Level (or the equivalent) in: 

Mathematics

If you’re studying IB, we ask for Analysis and Approaches for this course. If this isn’t an option at your school, please contact your shortlisted College(s) for advice.",A*A*A,41,"Economics at Cambridge gives you an understanding of core, pure and applied economics.

Study a range of different topics, including supply and demand, the role of prices and markets, employment, inflation, the operation of financial institutions and monetary policy.

Watch the video to find out what a day in the life of a Cambridge Economics student is like:"
UG_EDTX,10007788,https://www.undergraduate.study.cam.ac.uk/courses/education-ba-hons,"Education, BA (Hons)","You take 4 compulsory papers: 

Introduction to Education Systems and Disciplines 
Learning and Human Development 
Education, Creativity and Culture 
Education and Social Justice 

These papers will provide you with a strong foundation to support you in a range of more specialist options in your second and third years.","A level: A*AA
IB: 41-42 points, with 776 at Higher Level
Other qualifications: Check which other qualifications we accept.
We don't ask for any specific subjects to apply to Education. We recommend these subjects for a strong application: 

English (language or literature) 
History 
Languages (ancient or modern) 
Social science subjects",A*AA,41,"Education at Cambridge is the interdisciplinary study of human development and transformation. You'll study important questions about the nature of education and the impact of education systems.

Explore what it means to be educated in childhood and beyond. Consider how education can promote justice. Discover how Education relates to social, political, economic and cultural contexts.

Watch the video to find out what a day in the life of a Cambridge Education student is like:"
UG_EGTX,10007788,https://www.undergraduate.study.cam.ac.uk/courses/engineering-ba-hons-meng,"Engineering, BA (Hons) and MEng","Field trips and study abroad
Optional trips if you are taking language courses – estimated cost £350. 
Placements
Students are required to complete a minimum of 6 weeks of relevant industrial or equivalent experience by June of Year 3. You will need to cover any costs associated with this industrial or equivalent experience. Industrial experience requirements can be met through paid work placements. 
Your future career 
When you graduate, you’re fully qualified in your chosen area, knowledgeable across the range of engineering disciplines, and able to apply new technologies in novel situations.  
This gives you an advantage over engineering graduates from other more narrowly focused courses.  
Our students are in great demand and they go on to careers in all the major industrial and commercial sectors.  
Positions currently held by some of our graduates include: 

Graduate Engineer, Atkins 
Graduate RF Systems Engineer, Airbus Defence and Space 
Consultant, TTP plc 
Analyst, Goldman Sachs 
Real-Time Control and Software Engineer, UK Atomic Energy Authority 
Business Analyst, McKinsey & Company 
Manufacturing Engineer, Rolls-Royce plc.","To apply to any of our Colleges for Engineering, you will need A levels/IB Higher Levels (or the equivalent) in: 

Mathematics 
Physics
Further Mathematics to AS or A level if your school offers it. Check the guidance on this page 

If you’re studying IB, we ask for Analysis and Approaches for this course. If this isn’t an option at your school, please contact your shortlisted College(s) for advice. 
Colleges usually require A* in Mathematics and/or Further Mathematics. Colleges may also require an A*/7 in specific subjects (likely Chemistry or Physics) as part of your offer. Please review the webpages of your shortlisted College(s) before applying.
If you apply to Peterhouse, you may also be asked for grade 2 in STEP II.
Further Mathematics A level and additional maths 
If your school offers Further Mathematics to AS or A level, you should take it. Additional mathematics is helpful. All candidates are strongly encouraged to take up opportunities to develop their skills. 
If you are not able to take Further Mathematics because it's not available at your school, contact your shortlisted College(s) before you apply. They will confirm whether you are eligible to apply to their College for Engineering.
If Further Mathematics is not available to you, or you’ve recognised its desirability too late, we’d advise you to take as much additional pure maths and mechanics as possible. You could study AS Further Mathematics content independently or by using online resources covering advanced material. If you would like further guidance, please contact your shortlisted College(s).
More information about entry requirements
All Colleges, except Downing, Trinity and Corpus Christi, welcome applications from students taking A level Mathematics and a suitable vocational qualification, for example a BTEC Higher National Diploma in an engineering discipline.  
You’ll be expected to achieve the highest possible grades in A level Mathematics and the vocational qualification.  
If you’re taking the Single Award Applied A level in Engineering or the Principal Learning components of the Advanced Diploma in Engineering, you must also be taking A levels in Mathematics and Physics.  
T-Levels are not considered appropriate preparation for the Cambridge Engineering degree, so we can’t accept them.  
All Colleges welcome applications from students who want to do an Engineering-related gap year before starting the course.
Offers above the minimum requirement
The minimum offer level and subject requirements outline the minimum you'll usually need to achieve to get an offer from Cambridge.
In some cases, you'll get a higher or more challenging offer. Colleges set higher offer requirements for a range of reasons. If you'd like to find out more about why we do this, check the information about offers above the minimum requirement on the entry requirements page.
IB offers
Some Colleges usually make offers above the minimum offer level. Find out more on our qualifications page.
Admission assessment
All applicants for Engineering are required to take the Engineering and Science Admissions Test (ESAT). You will need to complete Mathematics 1, Mathematics 2 and Physics. You must register in advance and take the test at an authorised assessment centre.
Please see the admissions test page for more information.
Submitted work
You won't usually be asked to submit examples of written work.
All undergraduate admissions decisions are the responsibility of the Cambridge Colleges. Please contact the relevant College admissions office if you have any queries.",A*A*A,41,"Engineering at Cambridge enables you to develop your knowledge, skills, imagination and experience to the highest levels, so you’re ready for your future career.

Learn a broad range of topics, such as civil, structural, electrical and mechanical engineering and specialise in areas that interest you the most."
UG_ELTX,10007788,https://www.undergraduate.study.cam.ac.uk/courses/english-ba-hons,"English, BA (Hons)","You take 2 compulsory papers: 

Practical Criticism and Critical Practice 
Shakespeare (assessed by a portfolio of essays submitted in Easter Term) 

You also start work on 2 of the period papers, which will be examined in your second year.","To apply to any of our Colleges for English, you will need: 

A level/IB Higher Level (or the equivalent) in English Literature

or

A level (or the equivalent) in English Literature and Language (not accepted at all Colleges)

The following Colleges will not accept the combined Literature and Language A level:

Corpus Christi
Queens’",A*AA,41,"English at Cambridge gives you a solid foundation in history of English literature, from the medieval period right up to the present day.

Get an introduction to different types of writing, prose, fiction, drama and poetry, as well as the chance to specialise and develop your own interests."
UG_GETX,10007788,https://www.undergraduate.study.cam.ac.uk/courses/geography-ba-hons,"Geography, BA (Hons)","You’ll be introduced to key themes and issues by studying 2 core papers.  
The first core paper is People, Place and the Politics of Difference, and includes topics such as: 

globalisation 
cultural geography 
sustainable development 
historical geography 
urbanisation 
geopolitics 
uneven economies and inequality 
health and disease 

The second recent paper on Environmental Processes and Change included topics such as: 

tectonics and volcanism 
coastal processes 
glacial processes 
Quaternary climate change 
biogeography 
atmosphere and climate 

You will also go to a range of lectures and lab classes, both physical and computer-based, that will introduce you to geographical research skills across the subject.","A level: A*AA
IB: 41-42 points, with 776 at Higher Level
Other qualifications: Check which other qualifications we accept.
Some Colleges ask for specific subjects to apply to Geography, whereas others don't.",A*AA,41,"Geography at Cambridge is the study of some of the biggest challenges facing our planet, from climate emergencies to pandemics and urbanisation.

Explore both human and physical geography.  You will have the option to specialise in one of these areas from the second year or continue with both.

Watch the video to find out what a day in the life of a Cambridge Geography student is like:"
UG_HSTX,10007788,https://www.undergraduate.study.cam.ac.uk/courses/history-ba-hons,"History, BA (Hons)","You take 5 papers: 

2 outline papers, which usually cover a long period and broad geographical area. You choose 2 papers from a list of 11, ranging over Britain and Europe, the Americas, Africa and Asia 
one sources paper, where you examine a body of primary material on a particular historical theme, issue, or event. You choose one paper from a range of options which vary each year. Typical examples of options may include Travel and Trade in the Medieval World, Globalisation in Nineteenth-Century China, and Arab Intellectual History 
Introduction to Historical Thinking, which introduces methods and debates by examining a single work of history that has influenced the discipline 
Historical Skills, where you focus on research skills essential in History, such as the use of archives, digital sources, and oral history, as well as quantitative approaches","To apply to any of our Colleges for History, you will need an A level/IB Higher Level (or the equivalent) in: 

History 

If you’re not taking History but are able to demonstrate that you have developed other, equivalent skills by taking other relevant subjects, or through independent subject exploration, you should contact the admissions office of your shortlisted College(s) for advice.",A*AA,41,"History at Cambridge gives you the opportunity to explore the past from the ancient world to the present day.

Choose from a range of different topics that interest you, from politics in the Roman Republic to material culture in the Ottoman Empire and neoliberalism in modern Britain and America.

Watch the video to find out what a day in the life of a Cambridge History student is like:"
UG_HATX,10007788,https://www.undergraduate.study.cam.ac.uk/courses/history-of-art-ba-hons,"History of Art, BA (Hons)","Your first year will give you a broad introduction to the history, making and meaning of art and architecture.  
The first term covers ancient, medieval, Renaissance and Early Modern art and architecture.  
The second term focuses on art and architecture from the 18th century onward through to modern and contemporary art.  
Examples of topics include: 

contemporary installation and performance art 
Chinese and Islamic ceramics 
medieval manuscript illumination 
Modernity and Coloniality 
current exhibitions in Cambridge (like 'Black Atlantic' at the Fitzwilliam Museum) 

Most of the teaching is grouped into the 'Making of Art' and 'Meaning of Art and Architecture' courses.  
The 'Making of Art' addresses aspects of how works of art and buildings are made and the wider significance of materials and techniques.  
The 'Meaning of Art and Architecture' explores the cultural, religious and political contexts of art and architecture.  
You will typically take 2 final exam papers for each of these courses at the end of the first year, one essay paper and one visual analysis paper.  Assessment methods are currently awaiting confirmation. 
In addition, you will follow the core 'Objects of Art History' course which focuses on Cambridge's art collections and architectural heritage. This course is taught through site-visits and is typically assessed throughout the year via a coursework portfolio of a sample catalogue entry, exhibition review, and display proposal.  
You’ll also complete a 5,000 word dissertation on your choice of a work of art or architecture in or around Cambridge.","A level: A*AA
IB: 41-42 points, with 776 at Higher Level
Other qualifications: Check which other qualifications we accept.
We don't ask for any specific subjects to apply to History of Art, and Art & Design is accepted. However, Colleges usually require A*/7 in an essay-based subject or language. We also recommend these subjects for a strong application:

History
History of Art
English (language or literature) 
Languages (ancient or modern)",A*AA,41,"History of Art covers a wide spectrum of art and architecture from all over the world, from antiquity to modern and contemporary periods.

You will gain a deep understanding of art and architecture, and develop visual literacy and awareness, as well as critical and analytical skills."
UG_HSTMLX,10007788,https://www.undergraduate.study.cam.ac.uk/courses/history-modern-languages-ba-hons,"History and Modern Languages, BA (Hons)","You receive intensive language training, in grammar, translation and conversation.  
You also take 2 papers: 

one introductory paper about the literature, history, film and philosophy of the country where your language is spoken 
one History Outline paper on a selection of topics ranging from ancient and medieval societies to the twentieth-century world

You'll take the Introduction to Historical Thinking paper in your College.","To apply to any of our Colleges for History and Modern Languages, you will need A level/IB Higher Level (or the equivalent) in: 

History 
the language you want to study (if you will not be studying it from scratch) 

If you’re not taking History but are able to demonstrate that you have developed other, equivalent skills by taking other relevant subjects, or through independent subject exploration, you should contact the admissions office of your shortlisted Colleges for advice. 
If you’re not taking a modern language at A Level or IB Higher Level, you can apply for all options except French. You will study your chosen language ‘ab initio’ (from scratch).",A*AA,41,"History and Modern Languages at Cambridge is a joint degree that gives you the opportunity to combine the study of languages, culture and history.

Language options include German, French, Spanish, Italian, Portuguese, and Russian. As part of the course, you’ll spend a year abroad perfecting and practicing your language while you study, teach or work.

Number 1 in the UK for History (The Complete University Guide 2025)"
UG_HSTPOX,10007788,https://www.undergraduate.study.cam.ac.uk/courses/history-politics-ba-hons,"History and Politics, BA (Hons)","You take 4 papers: 

1 History Outline paper from a wide range of options, typically including papers on British, European, American, and Global history 
2 Politics papers – The Modern State and its Alternatives, and International Conflict, Order and Justice 
1 core interdisciplinary paper in Evidence and Argument.","To apply to any of our Colleges for History and Politics, you will need an A level/IB Higher Level (or the equivalent) in: 

History 

If you’re not taking History but are able to demonstrate that you have developed other, equivalent skills by taking other relevant subjects, or through independent subject exploration, you should contact the admissions office of the College to which you are considering applying for advice.",A*AA,41,"History and Politics at Cambridge is a joint degree that gives you the opportunity to combine the study of politics and history.

You'll engage with contemporary social and political issues, reflecting on their relationship.​"
UG_HPTX,10007788,https://www.undergraduate.study.cam.ac.uk/courses/human-social-political-sciences-ba-hons,"Human, Social, and Political Sciences, BA (Hons)","You take 4 papers.  

3 papers must be from the core subjects – politics, international relations, social anthropology, and sociology 
one paper can be another core subject paper, or you can choose an archaeology, biological anthropology or psychology option","A level: A*AA
IB: 41-42 points, with 776 at Higher Level
Other qualifications: Check which other qualifications we accept.
We don't ask for any specific subjects to apply to Human, Social, and Political Sciences. We recommend these subjects for a strong application: 

English (language or literature)
History
Languages (ancient or modern)",A*AA,41,"Human, Social, and Political Sciences at Cambridge includes politics and international relations, social anthropology and sociology.

You can specialise in one or two subjects, but you can also explore a variety of other subjects too.

Watch the video to find out what a day in the life of a Cambridge HSPS student is like:"
UG_LETX,10007788,https://www.undergraduate.study.cam.ac.uk/courses/land-economy-ba-hons,"Land Economy, BA (Hons)","You will study the core disciplines of law and economics.  
You take 4 papers: 

Economics 
The Public Sector 
Quantitative and Legal Methods for Land Economists 
Land Economy, Development, and Sustainability 

You’ll also develop: 

the key skill of critical analysis across a range of different disciplines 
computer literacy 
data management and numeracy skills 
skills in oral presentation and report preparation","A level: A*AA
IB: 41-42 points, with 776 at Higher Level
Other qualifications: Check which other qualifications we accept.
We don't ask for any specific subjects to apply to Land Economy. We recommend these subjects for a strong application: 

Economics 
Mathematics",A*AA,41,"Land Economy combines law and economics with aspects of the environment, business, finance and resource management.

Throughout the course you’ll study a broad range of topics including law, environmental policy and economics, and you can choose to specialise in one discipline from your second year.

Watch the video to find out what a day in the life of a Cambridge Land Economy student is like:"
UG_LWTX,10007788,https://www.undergraduate.study.cam.ac.uk/courses/law-ba-hons,"Law, BA (Hons)","You take 4 papers.  
In previous years, papers have included: 

Civil Law in Context
Constitutional Law 
Criminal Law 
Law of Tort","A level: A*AA 
IB: 41-42 points, with 776 at Higher Level
Other qualifications: Check which other qualifications we accept.
We don't ask for any specific subjects to apply to Law. We recommend these subjects for a strong application:

English (language or literature) 
History 
Languages (ancient or modern)",A*AA,41,"Law at the University of Cambridge allows you to understand law in its historical and social contexts, and to examine its general principles and techniques.

This course will prepare you to become qualified as a solicitor or barrister. As part of the course you will be able to specialise from second year and study other legal systems from outside the UK."
UG_LNTX,10007788,https://www.undergraduate.study.cam.ac.uk/courses/linguistics-ba-hons,"Linguistics, BA (Hons)","You will study a foundation across a wide range of linguistic subfields taught within the Faculty.  
You take 4 papers: 

Sounds and Words – an introduction to phonetics, phonology and morphology 
Structures and Meanings – looking at topics including sentence construction, semantics and pragmatics 
Language, Brains and Machines – considering the relationships of language to cognitive and computational factors 
Linguistic Variation and Change – contemporary linguistic variation and historical change","A level: A*AA
IB: 41-42 points, with 776 at Higher Level
Other qualifications: Check which other qualifications we accept.
We don't ask for any specific subjects to apply to Linguistics. We recommend these subjects for a strong application:

an essay-based subject",A*AA,41,"Linguistics is the systematic study of human language. On the course, you will use methods and knowledge from many disciplines. These include philosophy, physics, engineering and psychology.

Your studies will be varied – one day you might be poring over a medieval text for evidence of how the grammar of a language has changed, and the next, learning about how the larynx creates sound energy for speech, or how we can record brain responses in a categorisation task.

Watch the video to find out what a day in the life of a Cambridge Linguistics student is like:"
