kiscourseid,ukprn,url,coursetitle,modules,a_level_reqs,a_level_grades,ib_reqs,ib_grades,overview_text
UBSARCSAIA18,10007784,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/architectural-and-interdisciplinary-studies-year-abroad-bsc,Architectural and Interdisciplinary Studies with Year Abroad BSc,"
                                BSc Architectural and Interdisciplinary Studies - Year Abroad                              , , ","Grades
AAB
Subjects
No specific subjects. Comprehensive portfolio of creative work required upon invitation, at application stage. At least two A level subjects should be taken from UCL's list of preferred A level subjects.
GCSEs
English Language and Mathematics at grade C or 4.

",AAB,"Points
36
Subjects
A total of 17 points in three higher level subjects, with no higher level score below 5. No specific subjects are required but a comprehensive portfolio of creative work is required upon invitation, at application stage.

",36,"





 









 




"
UBSARCSING18,10007784,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/architecture-bsc,Architecture BSc,"
 Historical and Cultural Developments of Cities and their Architecture , , 
 Environmental Design , , 
 Structure, Materials and Forming Techniques , , 
 Project Work IA , , 
 Project Work IB , , 
 Project Work IC , , 
 Project Work ID , , 
 Making Cities: The Production of the Built Environment , , 
                                Looking, Making and Communicating                              , , ","Grades
AAB
Subjects
No specific subjects. Comprehensive portfolio of creative work required upon invitation, at application stage. At least two A level subjects should be taken from UCL's list of preferred A level subjects.
GCSEs
English Language and Mathematics at grade C or 4.

",AAB,"Points
36
Subjects
A total of 17 points in three higher level subjects, with no higher level score below 5. No specific subjects are required but a comprehensive portfolio of creative work required upon invitation, at application stage.

",36,"





 









 




"
UMSARCSING19,10007784,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/architecture-msci,Architecture MSci,"
 Making Architecture , , 
 Sample Building , , 
 Structural Concepts and Tools , , 
 Environmental Concepts and Tools , , 
 History and Theory , , 
 Skills Portfolio , , ","Grades
AAB
Subjects
No specific subjects. Comprehensive portfolio of creative work required upon invitation, at application stage. At least two A level subjects should be taken from UCL's list of preferred A level subjects.
GCSEs
English Language and Mathematics at grade C or 4.

",AAB,"Points
36
Subjects
A total of 17 points in three higher level subjects, with no higher level score below 5. No specific subjects are required but a comprehensive portfolio of creative work required upon invitation, at application stage.

",36,"





 









 




"
UBAARTATEC18,10007784,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/art-and-technology-ba,Art and Technology BA,"
                                Histories & Theories of Art and Technology                              , , 
                                Creative Computing 0: Coding Practice for Artists                              , , 
                                Technology as a Way of Seeing                              , , 
                                Creative Computing 1: Sensing Practice for Artists                              , , 
                                Creative Computing 2: Artificial and Machine Intelligence in Arts Practice                              , , 
                                Art Practice 1                              , , ","Grades
ABB
Subjects
No specific subjects, but a portfolio of work is required. At least two A level subjects should be taken from UCL's list of preferred A level subjects.
GCSEs
English Language and Mathematics at grade C or 4.

",ABB,"Points
34
Subjects
A total of 16 points in three higher level subjects, with no higher level score below 5, plus a portfolio. 

",34,"





 




"
UBBASCSING18,10007784,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/arts-and-sciences-basc,Arts and Sciences BASc,"
 Quantitative Methods and Mathematical Thinking , , 
 Approaches to Knowledge:  Introduction to Interdisciplinarity , , 
 Mathematical Methods for Arts and Sciences , , 
 Interdisciplinary Research Methods , , ","Grades
A*AA
Subjects
Major pathway requirements: Cultures: at least one essay-based arts/humanities subject Societies: at least one social sciences subject; Sciences and Engineering: Mathematics and one other science.
 Health and Environment: Biology, Chemistry, Environmental Science, Geography or Psychology, plus one further science or social science subject.

For more information about A level subject classification, see the BASc website at: Preferred A levels
GCSEs
English Language and Mathematics at grade B or 6.

",A*AA,"Points
39
Subjects
A total of 19 points in three higher level subjects, with no higher level score below 5. Major pathway requirements: Cultures at least one higher level from groups 1, 2 or 6; Societies: at least one higher level from group 3; Sciences and Engineering: to include higher level Mathematics at grade 6 and a further higher level subject from groups 4 or 5. The programme will accept either 'Mathematics: Analysis and Approaches' or 'Mathematics: Applications and Interpretation' at higher level; Health and Environment: to include higher level Chemistry or Biology at grade 6 and a further higher level subject from groups 3, 4 or 5.

",39,"The programme offers a wide combination of specialist modules from across UCL and an interdisciplinary Core taught by the Arts and Sciences department. The Core modules enable you to acquire the skills and concepts you will need to work effectively across multiple disciplines. The programme links traditional UCL subjects in new ways, and explores the conceptual and methodological differences between arts, social science and science subjects. "
UBBASCSABR18,10007784,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/arts-and-sciences-study-abroad-basc,Arts and Sciences with Study Abroad BASc,"
 Approaches to Knowledge:  Introduction to Interdisciplinarity , , 
 Mathematical Methods for Arts and Sciences , , 
 Interdisciplinary Research Methods , , 
 Quantitative Methods and Mathematical Thinking , , ","Grades
A*AA
Subjects
Major pathway requirements: Cultures: at least one essay-based arts/humanities subject Societies: at least one social sciences subject; Sciences and Engineering: Mathematics and one other science.
 Health and Environment: Biology, Chemistry, Environmental Science, Geography or Psychology, plus one further science or social science subject..

For more information about A level subject classification, see the BASc website at: Preferred A levels
GCSEs
English Language and Mathematics at grade B or 6.

",A*AA,"Points
39
Subjects
A total of 19 points in three higher level subjects, with no higher level score below 5. Major pathway requirements: Cultures at least one higher level from groups 1, 2 or 6; Societies: at least one higher level from group 3; Sciences and Engineering: to include higher level Mathematics at grade 6 and a further higher level subject from groups 4 or 5. The programme will accept either 'Mathematics: Analysis and Approaches' or 'Mathematics: Applications and Interpretation' at higher level; Health and Environment: to include higher level Chemistry or Biology at grade 6 and a further higher level subject from groups 3, 4 or 5.

",39,"The programme offers a wide combination of specialist modules from across UCL and an interdisciplinary Core taught by the Arts and Sciences Department. The Core modules enable you to acquire the skills and concepts you will need to work effectively across multiple disciplines. The programme links traditional UCL subjects in new ways and explores the conceptual and methodological differences between arts, social sciences and science subjects. "
UBSASTSPHY18,10007784,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/astrophysics-bsc,Astrophysics BSc,"
 Mathematical Methods 1 , , 
 Practical Skills 1A , , 
 Atoms, Stars and the Universe , , 
 Waves, Optics and Acoustics , , 
 Thermal Physics and the Properties of Matter , , 
 Practical Physics and Computing 1 , , 
 Mathematical Methods II , , 
 Classical Mechanics , , 
 Developing Effective Communication 1 , , ","Grades
A*AA
Subjects
A*A in Mathematics and Physics required (in any order).
GCSEs
English Language and Mathematics at grade C or 4.

",A*AA,"Points
39
Subjects
A total of 19 points in three higher level subjects including grade 7 and grade 6 in Mathematics and Physics, in any order, with no higher level score below 5. The programme will accept either 'Mathematics: Analysis and Approaches' or 'Mathematics: Applications and Interpretation' at higher level.

",39,"Compulsory modules in the first two years provide a grounding in mathematics and classical and quantum physics. You will also undertake modules which build up an increasing exposure to topics in astronomy and astrophysics. This starts in the first year with compulsory modules in Physics of the Universe and Practical Astronomy. This is followed in the second year by Astrophysical Processes and Practical Astrophysics, leading into compulsory third-year modules in Quantum Mechanics, Interstellar Physics, Physical Cosmology, and Astronomical Spectroscopy. The third year also provides for optional modules to further enhance and enrich your knowledge of astrophysics topics. "
UMSASTSPHY18,10007784,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/astrophysics-msci,Astrophysics MSci,"
 Mathematical Methods 1 , , 
 Practical Skills 1A , , 
 Atoms, Stars and the Universe , , 
 Waves, Optics and Acoustics , , 
 Thermal Physics and the Properties of Matter , , 
 Practical Physics and Computing 1 , , 
 Mathematical Methods II , , 
 Classical Mechanics , , 
 Developing Effective Communication 1 , , ","Grades
A*AA
Subjects
A*A in Mathematics and Physics required (in any order).
GCSEs
English Language and Mathematics at grade C or 4.

",A*AA,"Points
39
Subjects
A total of 19 points in three higher level subjects including grade 7 and grade 6 in Mathematics and Physics, in any order, with no higher level score below 5. The programme will accept either 'Mathematics: Analysis and Approaches' or 'Mathematics: Applications and Interpretation' at higher level.

",39,Compulsory modules in the first two years provide a grounding in mathematics and classical and quantum physics. You will also undertake modules which build up an increasing exposure to topics in astronomy and astrophysics. This starts in the first year with compulsory modules in Physics of the Universe and Practical Astronomy. 
UBSAUDSING18,10007784,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/audiology-bsc,Audiology BSc,,"Grades
AAB
Subjects
To include two sciences from Biology, Chemistry, Mathematics, Physics and Psychology. Biology, Mathematics, Physics and Psychology preferred
GCSEs
English Language and Mathematics at grade B or 6.

",AAB,"Points
36
Subjects
A total score of 17 points in three higher level subjects to include two subjects from Biology, Chemistry, Mathematics, Physics and Psychology, with no higher level score below 5. Biology, Mathematics, Physics or Psychology preferred. If Mathematics is offered at higher level, the programme will accept either 'Analysis and Approaches' or 'Applications and Interpretation.

",36,"





 









 




"
UBLLAWSHKD18,10007784,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bachelor-laws-ucl-and-bachelor-laws-hku-llb,Bachelor of Laws (UCL) and Bachelor of Laws (HKU) LLB,"
 Laws Connections , , 
 Contract , , 
 Property I , , 
 Public Law , , 
 Criminal Law , , ","Grades
A*AA
Subjects
No specific subjects. At least two A level subjects should be taken from UCL's list of preferred A level subjects.
GCSEs
English Language and Mathematics at grade B or 6.

",A*AA,"Points
39
Subjects
A total of 19 points in three higher level subjects, with no higher level score below 5.

",39,"





 









 




"
UBNBENSING22,10007784,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/biochemical-engineering-beng,Biochemical Engineering BEng,"
 Engineering Design Project , , 
 Applied Science and Experimentation , , 
 Introduction to Engineering Mathematics and Science , , 
 Engineering Challenges , , 
 Design and Professional Skills I (Biochemical Engineering) , , 
 Mathematical Modelling and Analysis 1 , , 
 Introduction to Biochemical Engineering , , 
 Biochemistry and Molecular Biology , , 
 Fluid Flow and Mixing in Bioprocesses , , 
 Bioprocess Analysis , ","Grades
AAA
Subjects
Mathematics required, plus one from Biology, Chemistry or Physics.
GCSEs
English Language and Mathematics at grade C or 4.

",AAA,"Points
38
Subjects
A total of 18 points in three higher level subjects including grade 6 in Mathematics, plus one from Biology, Chemistry or Physics, with no higher level score below 5. The programme will accept either 'Mathematics: Analysis and Approaches' or 'Mathematics: Applications and Interpretation' at higher level.

",38,"





 




"
UMNBENSING22,10007784,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/biochemical-engineering-meng,Biochemical Engineering MEng,"
 Engineering Design Project , , 
 Applied Science and Experimentation , , 
 Introduction to Engineering Mathematics and Science , , 
 Engineering Challenges , , 
 Design and Professional Skills I (Biochemical Engineering) , , 
 Mathematical Modelling and Analysis 1 , , 
 Introduction to Biochemical Engineering , , 
 Biochemistry and Molecular Biology , , 
 Fluid Flow and Mixing in Bioprocesses , , 
 Bioprocess Analysis , ","Grades
AAA
Subjects
Mathematics required, plus one from Biology, Chemistry or Physics.
GCSEs
English Language and Mathematics at grade C or 4.

",AAA,"Points
38
Subjects
A total of 18 points in three higher level subjects including Mathematics at grade 6, plus one from Biology, Chemistry or Physics, with no higher level score below 5. The programme will accept either 'Mathematics: Analysis and Approaches' or 'Mathematics: Applications and Interpretation' at higher level.

",38,"





 




"
UFBBENSING22,10007784,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/engineering-foundation-year,Engineering Foundation Year,"
 Engineering Projects and Skills , , 
 Applied Science and Experimentation , , 
 Mathematics for Engineering , , ",,,"Points100
Accepted QualificationsAny combination of the qualifications listed below, with no specific subject requirements. Unless you meet Group Two of the non-academic entry requirements, you should have studied for these qualifications at a UK state school:

A levels
International Baccalaureate Diploma
Access to HE Diploma – preferably related to an engineering discipline
BTEC Level 3 Extended Diploma – preferably related to an engineering discipline
Scottish Advanced Highers
Cambridge Pre-U Principal Subjects
T Levels

Other Level 3 qualifications that confer UCAS points may still be considered but could be less competitive. You can contact the Engineering Foundation Year team to see how these will be assessed.
You will not be eligible if you have completed a Level 4 qualification or higher (for example, a Higher National Certificate) or more than one year of an undergraduate degree.
GCSEsCurrently, the GCSE entry requirements are C or 4 in both GCSE English Language and Mathematics. 
NotesMature and forced migrant applicants only: Please note that we also consider qualifications not listed above, and the work experience of mature applicants, on a case-by-case basis.  If you do not have the qualifications listed above, please contact us at efy@ucl.ac.uk before submitting your application, providing the full title of your qualifications, the country in which you studied, and the grade(s) you achieved to seek guidance about your suitability for the programme. However, please bear in mind that we cannot always confirm your academic eligibility before we have reviewed your application.
The Engineering Foundation Year is intended for students who would not otherwise be able to study at UCL. If your predicted or actual grades would make you eligible for direct entry to Year 1 of the direct entry programme, including through the Access UCL Scheme, we will not consider your application and may transfer it for consideration to the direct entry programme.
If you are admitted to the Engineering Foundation Year and subsequently achieve grades that would have been sufficient for the direct entry programme, this will not mean you can transfer to Year 1 of the direct entry programme instead of taking the Engineering Foundation Year.




Eligibility for UK/home fee statusApplicants to the Engineering Foundation Year must be eligible to pay UK fees as determined by UCL Admissions.  This particular programme is part of UCL’s commitment to increase diversity in the student cohort, aiming to address discrepancies in the take-up of higher education opportunities between different underrepresented groups of UK students. If you are not eligible for UK fees you may wish to consider UCL's International Foundation Year.UCL reserves the right to determine this at any point in the application process, and if determined to be overseas, the application will no longer be considered.
Important:UCL Admissions review and where necessary update definitions to the below criteria annually. Applications for 2026 entry will be assessed based on the review due in September 2025. Once this review has taken place, this notice (and if necessary, the definitions) will be updated. You must meet one of the criteria in either Group One or Group Two.
Group One
In addition to meeting one of the following criteria, you must also have studied the qualifications to meet the academic entry requirements for this programme at a UK State School.
Postcode eligibilityApplicants who live in an area that has a high level of financial, social or economic deprivation, or low participation in higher education.
UCL use the Index of Multiple of Deprivation to identify levels of financial, social or economic deprivation, and TUNDRA to measure participation rates.
Eligibility for free school mealsEngland: Applicants who were known to be eligible for free school meals at the end of Key Stage 4 (Year 11) and/or six years prior to this point.
Northern Ireland: Applicants who were known to be eligible for free school meals in the six years prior to Year 12.
Wales: Applicants who were known to be eligible for free school meals between the start of Year 11 and the January five years prior to this.
EstrangedUCL’s definition of estrangement is that you must be permanently estranged from both parents with no support from, or contact with, either parent for at least a year. This does not apply to single-parent families, where you are still in contact with one parent. You must be under 25 on your first day at UCL.
Note: If you have been in local authority care, you may be considered ‘care experienced’ rather than ‘estranged’.
Educational gapApplicants who have experienced an educational gap of more than one year (e.g. leaving school at 16 but returning to complete a Level 3 qualification after several years in work). Deferred or ‘gap’ years between school and university are not considered under this criterion.
Group Two
You must meet one of the following criteria:
Care experiencedWe define someone as care experienced if they have 1) studied at a UK school for their Level 3 qualifications and 2) been looked after by a local authority or been in kinship care as a formal agreement with the local authority, for three months (at least 84 days) in their life. The months do not need to be consecutive. You must be under 25 on your first day at UCL.
Forced migrantWe use the term 'forced migrant' to mean one of the following:

Refugee
Asylum seeker
Those who have been granted a temporary form of leave as the result of an asylum or human rights application (e.g. limited leave to remain, discretionary leave to remain, humanitarian protection, UASC leave).

We will assess applications from forced migrants on a case-by-case basis.
Mature studentThose who are 21 or older on the day they start their first undergraduate degree.
We will assess applications from mature students on a case-by-case basis, taking into account your work experience. 


",26,"





 









 




"
UBSBOCSING18,10007784,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/biochemistry-bsc,Biochemistry BSc,"
 Biochemistry and Molecular Biology , , 
 Basics for Molecular Biosciences , , 
 Experimental Biochemistry , , 
 Introduction to Microbiology , , 
 Introduction to Genetics , , 
 Cells and Development , , 
 Chemistry for Biologists , , ","Grades
AAA
Subjects
Biology, Chemistry and Mathematics required.
GCSEs
English Language and Mathematics at grade B or 6.

",AAA,"Points
38
Subjects
A total of 18 points in three higher level subjects to include Biology, Chemistry, and Mathematic, with no higher level score below 5. The programme will accept either 'Mathematics: Analysis and Approaches' or 'Mathematics: Applications and Interpretation' at higher level.

",38,"Build your expertise and forever change your understanding of the world around you, by studying proteins and nucleic acids – the machines that create life itself. "
UMSBOCSING18,10007784,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/biochemistry-msci,Biochemistry MSci,"
 Biochemistry and Molecular Biology , , 
 Basics for Molecular Biosciences , , 
 Experimental Biochemistry , , 
 Introduction to Microbiology , , 
 Introduction to Genetics , , 
 Cells and Development , , 
 Chemistry for Biologists , , ","Grades
AAA
Subjects
Biology, Chemistry and Mathematics required.
GCSEs
English Language and Mathematics at grade B or 6.

",AAA,"Points
38
Subjects
A total of 18 points in three higher level subjects to include Biology, Chemistry, and Mathematic, with no higher level score below 5. The programme will accept either 'Mathematics: Analysis and Approaches' or 'Mathematics: Applications and Interpretation' at higher level.

",38,"Build your expertise and forever change your understanding of the world around you, by studying proteins and nucleic acids – the machines that create life itself. "
UBSBOLSING18,10007784,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/biological-sciences-bsc,Biological Sciences BSc,"BIOC0001: Biochemistry and Molecular Biology, BIOL0001: Quantitative Biology, BIOL0002: First Year Core Skills, BIOL0003: Introduction to Genetics, BIOL0004: Life on Earth, BIOL0006: Methods in Ecology and Evolution, CELL0007: Cells and Development, Optional modules, There are two optional modules that can be taken in the first year.  You are required to select one optional module from the Term 1 list and one optional module from the Term 2 list:, Term 1 Optional Modules:, BIOL0005: Fundamentals of Biology OR CHEM0010: Chemistry for Biologists, Term 2 Optional Modules:, BIOL0055: Biodiversity and Conservation OR BIOC0004: Introduction to Microbiology","Grades
AAA
Subjects
Biology required plus one from Chemistry, Life and Health Sciences, Mathematics or Physics.
GCSEs
English Language and Mathematics at grade B or 6.

",AAA,"Points
38
Subjects
A total of 18 points in three higher level subjects including Biology at grade 6 and one from Chemistry, Mathematics or Physics, with no higher level score below 5. For Mathematics, the programme will accept either 'Analysis and Approaches' or 'Applications and Interpretation' at higher level.

",38,"On this programme, you’ll address real research questions at one of the world’s leading biological science departments, with opportunities to hone your expertise and contribute to ongoing research in your chosen specialism. "
